Name_Virture,Name_Pool ,Destination,Protocol,Profiles
vs_cardHx_48006,Pool_cardHx_48006,10.8.5.57:48006,tcp,fastL4
vs_icpapp_8099,pool_icpapp_8099,10.8.5.19:8099,tcp,fastL4
vs_wl_svs_50012,pool_WL_svs_50012,10.8.5.73:50012,tcp,fastL4
vs_zxgxp_50106,pool_zxgxp_50106,10.8.9.80:50106,tcp,fastL4
vs_zxkf_1935,pool_zxkf_yy_1935,10.8.10.154:macromedia-fcs,tcp,fastL4
vs_zxkf_1936,pool_zxkf_yy_1936,10.8.10.154:jetcmeserver,tcp,fastL4
vs_zxkf_8992,pool_zxkf_yy_8992,10.8.10.154:8992,tcp,fastL4
vs_zxkf_9081,pool_zxkf_yy_9081,10.8.10.154:9081,tcp,{
vs_zxkf_9082,pool_zxkf_yy_9082,10.8.10.154:9082,tcp,{
vs_zxkf_9083,pool_zxkf_yy_9083,10.8.10.154:9083,tcp,{
vs_zxkf_9084,pool_zxkf_yy_9084,10.8.10.154:9084,tcp,{
